Text,University name,Address,Latitude,Longitude,Found Address,Match Quality,Source
"ESSEC Business School, Cergy-Pontoise (Current number of students: 3)","ESSEC Business School, Cergy-Pontoise","3 Avenue Bernard Hirsch, 95021 Cergy-Pontoise, France",49.0335759,2.0753632,"3 Avenue Bernard Hirsch, 95000 Cergy, France",Match,Google
Groupe ESC PAU (Current number of students: 0),Groupe ESC PAU,"3 Rue Saint-John Perse, 64000 Pau, France",43.3176753,-0.3644136,"3 Rue Saint-John Perse, 64000 Pau, France",Match,Google
Kedge Business School Marseille (Current number of students: 0),Kedge Business School Marseille,"Domaine de Luminy, Rue Antoine Bourdelle 13009 Marseille - France",43.232356,5.433561,"Domaine de Luminy, Rue Antoine Bourdelle, 13009 Marseille, France",Match,Google
Kedge Business School Bordeaux (Current number of students: 0),Kedge Business School Bordeaux,680 cours Libération 33405 Talence - France,44.7964981,-0.6020615,"680 Cours de la Libération, 33405 Talence, France",Match,Google
PSB Paris School of Business (ex Groupe ESG / PGSM) (Current number of students: 0),PSB Paris School of Business (ex Groupe ESG / PGSM),"59 Rue Nationale, 75013 Paris, France",48.8255126,2.3665205,"59 Rue Nationale, 75013 Paris, France",Match,Google
Fachhochschule Dortmund (Current number of students: 0),Fachhochschule Dortmund,"Sonnenstraße 96, 44139 Dortmund, Germany",51.5056431,7.4574777,"Sonnenstraße 96, 44139 Dortmund, Germany",Match,Google
Hochschule Düsseldorf (Current number of students: 0),Hochschule Düsseldorf,"Münsterstraße 156, 40476 Düsseldorf, Germany",51.2468622,6.7916869,"Münsterstraße 156, 40476 Düsseldorf, Germany",Match,Google
Frankfurt University of Applied Sciences (Current number of students: 0),Frankfurt University of Applied Sciences,"Nibelungenpl 1, 60318 Frankfurt am Main, Germany",50.1286856,8.6916861,"Nibelungenpl 1, 60318 Frankfurt am Main, Germany",Match,Google
TH Köln/University of Applied Sciences (Current number of students: 0),TH Köln/University of Applied Sciences,"Ubierring 40, 50678 Köln, Germany",50.9214682,6.9629659,"Ubierring 40, 50678 Köln, Germany",Match,Google
Technische Hochschule Nürnberg Georg Simon Ohm (Current number of students: 0),Technische Hochschule Nürnberg Georg Simon Ohm,"Keßlerpl. 12, 90489 Nürnberg, Germany",49.4528343,11.0932366,"KA-Gebäude GSO, Keßlerpl. 12, 90489 Nürnberg, Germany",Match,Google
Hochschule für Wirtschaft und Recht Berlin (Current number of students: 0),Hochschule für Wirtschaft und Recht Berlin,"Badensche Str. 52, 10825 Berlin, Germany",52.4854703,13.3382037,"Badensche Str. 52, 10825 Berlin, Germany",Match,Google
Fachhochschule für Angewandte Wissenschaften Hamburg (Current number of students: 0),Fachhochschule für Angewandte Wissenschaften Hamburg,"Berliner Tor 5, 20099 Hamburg, Germany",53.5565997,10.0219843,"Haus A, Berliner Tor 5, 20099 Hamburg, Germany",Match,Google
International Black Sea University (Current number of students: 0),International Black Sea University,"2 0131, 13km დავით აღმაშენებლის ხეივანი, Tbilisi, Georgia",41.7973758,44.7739649,"2 0131, 13km დავით აღმაშენებლის ხეივანი, Tbilisi, Georgia",Match,Google
Hang Seng University of Hong Kong (Current number of students: 0),Hang Seng University of Hong Kong,"Hang Shin Ln, Siu Lek Yuen, Hong Kong",22.379357,114.212273,"Hang Shin Ln, Siu Lek Yuen, Hong Kong",Match,Google
International Business School Budapest (Current number of students: 0),International Business School Budapest,"Budapest, Záhony u. 7, 1031 Hungary",47.560731,19.0559462,"Budapest, Záhony utca 7, 1031 Hungary",Match,Google
University of Debrecen (UNIDEB) (Current number of students: 0),University of Debrecen (UNIDEB),"Debrecen, Egyetem tér 1, 4032 Hungary",47.5540468,21.6215226,"Debrecen, Egyetem tér 1, 4032 Hungary",Match,Google
Universitas Pelita Harapan (Current number of students: 1),Universitas Pelita Harapan,"Jl. MH. Thamrin Boulevard 1100, Klp. Dua, Karawaci, Tangerang, Banten 15811, Indonesia",-6.2136384,106.6295725,"Jl. MH. Thamrin, Kota Tangerang, Banten, Indonesia",Match,Google
Università Carlo Cattaneo - LIUC (Current number of students: 0),Università Carlo Cattaneo - LIUC,"Corso G. Matteotti, 22, 21053 Castellanza VA, Italy",45.6119918,8.9015315,"Corso Giacomo Matteotti, 22, 21053 Castellanza VA, Italy",Match,Google
Università Cattolica del Sacro Cuore (UCSC) (Current number of students: 0),Università Cattolica del Sacro Cuore (UCSC),"Largo Agostino Gemelli, 1, 20123 Milano MI, Italy",45.4619108,9.1770225,"Largo Agostino Gemelli, 1, 20123 Milano MI, Italy",Match,Google
Akita International University (Current number of students: 1),Akita International University,"Okutsubakidai-193-2 Yuwatsubakigawa, Akita, 010-1292, Japan",39.6266996,140.1981405,"Okutsubakidai-193-2 Yuwatsubakigawa, Akita, 010-1292, Japan",Match,Google
Kansai Gaidai University (Current number of students: 2),Kansai Gaidai University,"16-1 Nakamiya Higashinochō, Hirakata, Osaka 573-1195, Japan",34.8232415,135.6641491,"16-1 Nakamiya Higashinochō, Hirakata, Osaka 573-1195, Japan",Match,Google
"Momoyama Gakuin University, Osaka (Current number of students: 2)","Momoyama Gakuin University, Osaka","1-1 Manabino, Izumi, Osaka 594-1152, Japan",34.4521145,135.4551036,"1 Manabino, Izumi, Osaka 594-1152, Japan",Partial Match,Google
Seinan Gakuin University (Current number of students: 1),Seinan Gakuin University,"6 Chome-2-９２ Nishijin, Sawara Ward, Fukuoka, 814-0002, Japan",33.5846304,130.3548747,"6-chōme-2-92 Nishijin, Sawara-ku, Fukuoka, 814-0002, Japan",Match,Google
Toyo University (Current number of students: 4),Toyo University,"5 Chome-28-２０ Hakusan, Bunkyo City, Tokyo 112-8606, Japan",35.7235908,139.7496751,"Japan, 〒112-8606 Tokyo, Bunkyo City, Hakusan, 5 Chome−28−２０ 東洋大学６号館 B１F",Match,Google
Yamanashi Gakuin University (Current number of students: 0),Yamanashi Gakuin University,"2 Chome-4-5 Sakaori, Kofu, Yamanashi 400-8575, Japan",35.6566427,138.6010022,"2 Chome-4-5 Sakaori, Kofu, Yamanashi 400-8575, Japan",Match,Google
"Narxoz University, Almaty (Current number of students: 0)","Narxoz University, Almaty","Zhandosov Street 55, Almaty 050035, Kazakhstan",43.2146261,76.8711279,"Zhandosov Street 55, Almaty, Kazakhstan",Match,Google
Handong University (Current number of students: 0),Handong University,"South Korea, Gyeongsangbuk-do, Pohang, Buk-gu, 흥해읍 한동로 558",36.102232,129.3897838,"558 Handong-ro, Heunghae-eup, Buk-gu, Pohang, Gyeongsangbuk-do, South Korea",Match,Google
Hanyang University (Current number of students: 0),Hanyang University,"222 Wangsimni-ro, Sageun-dong, Seongdong-gu, Seoul, South Korea",37.5572321,127.0453219,"222 Wangsimni-ro, Sageun-dong, Seongdong-gu, Seoul, South Korea",Match,Google
Kookmin University (Current number of students: 0),Kookmin University,"77 Jeongneung-ro, Jeongneung-dong, Seongbuk-gu, Seoul, South Korea",37.6108694,126.9972889,"77 Jeongneung-ro, Jeongneung 3(sam)-dong, Seongbuk-gu, Seoul, South Korea",Match,Google
Yeungnam University (Current number of students: 0),Yeungnam University,"280 Daehak-ro, Joyeong-dong, Gyeongsan, Gyeongsangbuk-do, South Korea",35.8367325,128.754368,"280 Daehak-ro, Bukbu-dong, Gyeongsan, Gyeongsangbuk-do, South Korea",Match,Google
Vilniaus Kolegija / University of Applied Sciences (Current number of students: 0),Vilniaus Kolegija / University of Applied Sciences,"Saltoniškių g. 58, Vilnius 08105, Lithuania",54.6961413,25.2569033,"Saltoniškių g. 58, Vilnius 08105, Lithuania",Match,Google
"Universiti Sains Malaysia, Penang (Current number of students: 0)","Universiti Sains Malaysia, Penang","11800 Gelugor, Penang, Malaysia",5.3574545,100.301096,"11800 Gelugor, Penang, Malaysia",Match,Google
